Date,Customers,Promo,Stateholiday,Schoolholiday
2013-01-06,295.5,0.0,0.3333333333333333,0.6666666666666666
2013-01-13,518.7142857142857,0.7142857142857143,0.0,0.0
2013-01-20,356.7142857142857,0.0,0.0,0.0
2013-01-27,486.85714285714283,0.7142857142857143,0.0,0.0
2013-02-03,366.42857142857144,0.0,0.0,0.0
2013-02-10,482.42857142857144,0.7142857142857143,0.0,0.0
2013-02-17,351.0,0.0,0.0,0.0
2013-02-24,475.14285714285717,0.7142857142857143,0.0,0.0
2013-03-03,351.57142857142856,0.0,0.0,0.0
2013-03-10,494.42857142857144,0.7142857142857143,0.0,0.0
2013-03-17,363.0,0.0,0.0,0.0
2013-03-24,500.0,0.7142857142857143,0.0,0.0
2013-03-31,528.7142857142857,0.7142857142857143,0.14285714285714285,0.7142857142857143
2013-04-07,313.42857142857144,0.0,0.14285714285714285,0.7142857142857143
2013-04-14,499.0,0.7142857142857143,0.0,0.0
2013-04-21,349.14285714285717,0.0,0.0,0.0
2013-04-28,476.42857142857144,0.7142857142857143,0.0,0.0
2013-05-05,453.7142857142857,0.7142857142857143,0.14285714285714285,0.0
2013-05-12,339.0,0.0,0.14285714285714285,0.0
2013-05-19,485.57142857142856,0.7142857142857143,0.0,0.0
2013-05-26,303.85714285714283,0.0,0.14285714285714285,0.5714285714285714
2013-06-02,445.2857142857143,0.7142857142857143,0.14285714285714285,0.7142857142857143
2013-06-09,484.2857142857143,0.7142857142857143,0.0,0.0
2013-06-16,353.0,0.0,0.0,0.0
2013-06-23,456.7142857142857,0.7142857142857143,0.0,0.0
2013-06-30,382.2857142857143,0.0,0.0,0.0
2013-07-07,471.57142857142856,0.7142857142857143,0.0,0.0
2013-07-14,351.0,0.0,0.0,0.0
2013-07-21,523.4285714285714,0.7142857142857143,0.0,0.0
2013-07-28,375.7142857142857,0.0,0.0,0.2857142857142857
2013-08-04,494.14285714285717,0.7142857142857143,0.0,0.7142857142857143
2013-08-11,337.2857142857143,0.0,0.0,0.7142857142857143
2013-08-18,466.57142857142856,0.7142857142857143,0.0,0.7142857142857143
2013-08-25,310.85714285714283,0.0,0.0,0.7142857142857143
2013-09-01,440.14285714285717,0.7142857142857143,0.0,0.7142857142857143
2013-09-08,357.2857142857143,0.0,0.0,0.7142857142857143
2013-09-15,544.7142857142857,0.7142857142857143,0.0,0.0
2013-09-22,356.42857142857144,0.0,0.0,0.0
2013-09-29,480.7142857142857,0.7142857142857143,0.0,0.0
2013-10-06,349.2857142857143,0.0,0.14285714285714285,0.0
2013-10-13,499.0,0.7142857142857143,0.0,0.0
2013-10-20,361.14285714285717,0.0,0.0,0.0
2013-10-27,474.0,0.7142857142857143,0.0,0.0
2013-11-03,353.85714285714283,0.0,0.14285714285714285,0.42857142857142855
2013-11-10,492.14285714285717,0.7142857142857143,0.0,0.0
2013-11-17,351.85714285714283,0.0,0.0,0.0
2013-11-24,476.57142857142856,0.7142857142857143,0.0,0.0
2013-12-01,385.2857142857143,0.0,0.0,0.0
2013-12-08,543.5714285714286,0.7142857142857143,0.0,0.0
2013-12-15,398.14285714285717,0.0,0.0,0.0
2013-12-22,628.7142857142857,0.7142857142857143,0.0,0.0
2013-12-29,324.14285714285717,0.0,0.2857142857142857,0.7142857142857143
2014-01-05,351.42857142857144,0.0,0.14285714285714285,0.7142857142857143
2014-01-12,459.57142857142856,0.7142857142857143,0.14285714285714285,0.0
2014-01-19,350.57142857142856,0.0,0.0,0.0
2014-01-26,509.14285714285717,0.7142857142857143,0.0,0.0
2014-02-02,367.0,0.0,0.0,0.0
2014-02-09,547.2857142857143,0.7142857142857143,0.0,0.0
2014-02-16,389.2857142857143,0.0,0.0,0.0
2014-02-23,494.85714285714283,0.7142857142857143,0.0,0.0
2014-03-02,361.85714285714283,0.0,0.0,0.0
2014-03-09,533.7142857142857,0.7142857142857143,0.0,0.0
2014-03-16,356.14285714285717,0.0,0.0,0.0
2014-03-23,493.2857142857143,0.7142857142857143,0.0,0.0
2014-03-30,366.85714285714283,0.0,0.0,0.0
2014-04-06,521.4285714285714,0.7142857142857143,0.0,0.0
2014-04-13,380.7142857142857,0.0,0.0,0.0
2014-04-20,490.2857142857143,0.7142857142857143,0.14285714285714285,0.7142857142857143
2014-04-27,302.85714285714283,0.0,0.14285714285714285,0.7142857142857143
2014-05-04,481.2857142857143,0.7142857142857143,0.14285714285714285,0.0
2014-05-11,498.0,0.7142857142857143,0.0,0.0
2014-05-18,362.85714285714283,0.0,0.0,0.0
2014-05-25,473.7142857142857,0.7142857142857143,0.0,0.0
2014-06-01,359.42857142857144,0.0,0.14285714285714285,0.0
2014-06-08,501.7142857142857,0.7142857142857143,0.0,0.0
2014-06-15,307.7142857142857,0.0,0.14285714285714285,0.5714285714285714
2014-06-22,463.7142857142857,0.7142857142857143,0.14285714285714285,0.7142857142857143
2014-06-29,387.0,0.0,0.0,0.0
2014-07-06,512.0,0.7142857142857143,0.0,0.0
2014-07-13,385.7142857142857,0.0,0.0,0.0
2014-07-20,481.14285714285717,0.7142857142857143,0.0,0.0
2014-07-27,377.85714285714283,0.0,0.0,0.0
2014-08-03,532.7142857142857,0.7142857142857143,0.0,0.2857142857142857
2014-08-10,462.0,0.7142857142857143,0.0,0.7142857142857143
2014-08-17,351.0,0.0,0.0,0.7142857142857143
2014-08-24,437.42857142857144,0.7142857142857143,0.0,0.7142857142857143
2014-08-31,340.85714285714283,0.0,0.0,0.7142857142857143
2014-09-07,452.2857142857143,0.7142857142857143,0.0,0.7142857142857143
2014-09-14,369.2857142857143,0.0,0.0,0.7142857142857143
2014-09-21,499.85714285714283,0.7142857142857143,0.0,0.0
2014-09-28,352.0,0.0,0.0,0.0
2014-10-05,427.85714285714283,0.7142857142857143,0.14285714285714285,0.0
2014-10-12,455.14285714285717,0.7142857142857143,0.0,0.0
2014-10-19,353.14285714285717,0.0,0.0,0.0
2014-10-26,438.42857142857144,0.7142857142857143,0.0,0.0
2014-11-02,323.0,0.0,0.14285714285714285,0.5714285714285714
2014-11-09,525.4285714285714,0.7142857142857143,0.0,0.0
2014-11-16,454.0,0.7142857142857143,0.0,0.0
2014-11-23,356.0,0.0,0.0,0.0
2014-11-30,502.0,0.7142857142857143,0.0,0.0
2014-12-07,497.7142857142857,0.7142857142857143,0.0,0.0
2014-12-14,409.42857142857144,0.0,0.0,0.0
2014-12-21,596.0,0.7142857142857143,0.0,0.0
2014-12-28,344.7142857142857,0.0,0.2857142857142857,0.7142857142857143
2015-01-04,323.14285714285717,0.0,0.14285714285714285,0.7142857142857143
2015-01-11,416.57142857142856,0.7142857142857143,0.14285714285714285,0.14285714285714285
2015-01-18,476.14285714285717,0.7142857142857143,0.0,0.0
2015-01-25,350.42857142857144,0.0,0.0,0.0
2015-02-01,487.0,0.7142857142857143,0.0,0.0
2015-02-08,489.57142857142856,0.7142857142857143,0.0,0.0
2015-02-15,378.85714285714283,0.0,0.0,0.0
2015-02-22,485.57142857142856,0.7142857142857143,0.0,0.0
2015-03-01,371.14285714285717,0.0,0.0,0.0
2015-03-08,495.85714285714283,0.7142857142857143,0.0,0.0
2015-03-15,373.0,0.0,0.0,0.0
2015-03-22,499.85714285714283,0.7142857142857143,0.0,0.0
2015-03-29,384.2857142857143,0.0,0.0,0.0
2015-04-05,521.2857142857143,0.7142857142857143,0.14285714285714285,0.7142857142857143
2015-04-12,326.42857142857144,0.0,0.14285714285714285,0.7142857142857143
2015-04-19,477.0,0.7142857142857143,0.0,0.0
2015-04-26,361.2857142857143,0.0,0.0,0.0
2015-05-03,456.42857142857144,0.7142857142857143,0.14285714285714285,0.0
2015-05-10,466.42857142857144,0.7142857142857143,0.0,0.0
2015-05-17,327.7142857142857,0.0,0.14285714285714285,0.0
2015-05-24,479.7142857142857,0.7142857142857143,0.0,0.0
2015-05-31,321.14285714285717,0.0,0.14285714285714285,0.5714285714285714
2015-06-07,414.14285714285717,0.7142857142857143,0.14285714285714285,0.7142857142857143
2015-06-14,349.7142857142857,0.0,0.0,0.0
2015-06-21,480.14285714285717,0.7142857142857143,0.0,0.0
2015-06-28,356.7142857142857,0.0,0.0,0.0
2015-07-05,473.42857142857144,0.7142857142857143,0.0,0.0
2015-07-12,362.42857142857144,0.0,0.0,0.0
2015-07-19,461.0,0.7142857142857143,0.0,0.0
2015-07-26,357.0,0.0,0.0,0.0
2015-08-02,597.0,1.0,0.0,0.4
