Date,Weekly_Sales,IsHoliday_x,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,24924.5,0,42.31,2.572,211.0963582,8.106
2010-02-12,46039.49,1,38.51,2.548,211.24216980000003,8.106
2010-02-19,41595.55,0,39.93,2.514,211.2891429,8.106
2010-02-26,19403.54,0,46.63,2.5610000000000004,211.3196429,8.106
2010-03-05,21827.9,0,46.5,2.625,211.3501429,8.106
2010-03-12,21043.39,0,57.79,2.667,211.3806429,8.106
2010-03-19,22136.64,0,54.58,2.72,211.215635,8.106
2010-03-26,26229.21,0,51.45,2.732,211.0180424,8.106
2010-04-02,57258.43,0,62.27,2.719,210.8204499,7.808
2010-04-09,42960.91,0,65.86,2.77,210.6228574,7.808
2010-04-16,17596.96,0,66.32,2.8080000000000003,210.4887,7.808
2010-04-23,16145.35,0,64.84,2.795,210.4391228,7.808
2010-04-30,16555.11,0,67.41,2.78,210.3895456,7.808
2010-05-07,17413.94,0,72.55,2.835,210.3399684,7.808
2010-05-14,18926.74,0,74.78,2.854,210.3374261,7.808
2010-05-21,14773.04,0,76.44,2.826,210.6170934,7.808
2010-05-28,15580.43,0,80.44,2.759,210.8967606,7.808
2010-06-04,17558.09,0,80.69,2.705,211.1764278,7.808
2010-06-11,16637.62,0,80.43,2.668,211.4560951,7.808
2010-06-18,16216.27,0,84.11,2.637,211.4537719,7.808
2010-06-25,16328.72,0,84.34,2.653,211.3386526,7.808
2010-07-02,16333.14,0,80.91,2.669,211.2235333,7.787000000000001
2010-07-09,17688.76,0,80.48,2.642,211.108414,7.787000000000001
2010-07-16,17150.84,0,83.15,2.623,211.1003854,7.787000000000001
2010-07-23,15360.45,0,83.36,2.608,211.2351443,7.787000000000001
2010-07-30,15381.82,0,81.84,2.64,211.36990319999995,7.787000000000001
2010-08-06,17508.41,0,87.16,2.627,211.5046621,7.787000000000001
2010-08-13,15536.4,0,87.0,2.692,211.6394211,7.787000000000001
2010-08-20,15740.13,0,86.65,2.664,211.6033633,7.787000000000001
2010-08-27,15793.87,0,85.22,2.619,211.5673056,7.787000000000001
2010-09-03,16241.78,0,81.21,2.577,211.53124790000004,7.787000000000001
2010-09-10,18194.74,1,78.69,2.565,211.4951902,7.787000000000001
2010-09-17,19354.23,0,82.11,2.582,211.5224596,7.787000000000001
2010-09-24,18122.52,0,80.94,2.624,211.5972246,7.787000000000001
2010-10-01,20094.19,0,71.89,2.603,211.6719895,7.837999999999999
2010-10-08,23388.03,0,63.93,2.633,211.7467544,7.837999999999999
2010-10-15,26978.34,0,67.18,2.72,211.8137436,7.837999999999999
2010-10-22,25543.04,0,69.86,2.725,211.8612937,7.837999999999999
2010-10-29,38640.93,0,69.64,2.716,211.9088438,7.837999999999999
2010-11-05,34238.88,0,58.74,2.689,211.9563939,7.837999999999999
2010-11-12,19549.39,0,59.61,2.728,212.003944,7.837999999999999
2010-11-19,19552.84,0,51.41,2.7710000000000004,211.8896737,7.837999999999999
2010-11-26,18820.29,1,64.52,2.735,211.7484333,7.837999999999999
2010-12-03,22517.56,0,49.27,2.708,211.607193,7.837999999999999
2010-12-10,31497.65,0,46.33,2.843,211.4659526,7.837999999999999
2010-12-17,44912.86,0,49.84,2.869,211.4053124,7.837999999999999
2010-12-24,55931.23,0,52.33,2.886,211.4051222,7.837999999999999
2010-12-31,19124.58,1,48.43,2.943,211.4049321,7.837999999999999
2011-01-07,15984.24,0,48.27,2.9760000000000004,211.40474190000003,7.742000000000001
2011-01-14,17359.7,0,35.4,2.983,211.4574109,7.742000000000001
2011-01-21,17341.47,0,44.04,3.016,211.82723430000004,7.742000000000001
2011-01-28,18461.18,0,43.83,3.01,212.1970577,7.742000000000001
2011-02-04,21665.76,0,42.27,2.989,212.5668812,7.742000000000001
2011-02-11,37887.17,1,36.39,3.022,212.9367046,7.742000000000001
2011-02-18,46845.87,0,57.36,3.045,213.2478853,7.742000000000001
2011-02-25,19363.83,0,62.9,3.065,213.535609,7.742000000000001
2011-03-04,20327.61,0,59.58,3.2880000000000003,213.8233327,7.742000000000001
2011-03-11,21280.4,0,53.56,3.459,214.1110564,7.742000000000001
2011-03-18,20334.23,0,62.76,3.488,214.3627114,7.742000000000001
2011-03-25,20881.1,0,69.97,3.4730000000000003,214.5999389,7.742000000000001
2011-04-01,20398.09,0,59.17,3.524,214.8371664,7.682
2011-04-08,23873.79,0,67.84,3.622,215.0743939,7.682
2011-04-15,28762.37,0,71.27,3.743,215.2918561,7.682
2011-04-22,50510.31,0,72.99,3.807,215.45990530000003,7.682
2011-04-29,41512.39,0,72.03,3.81,215.6279544,7.682
2011-05-06,20138.19,0,64.61,3.906,215.7960035,7.682
2011-05-13,17235.15,0,75.64,3.899,215.9640526,7.682
2011-05-20,15136.78,0,67.63,3.907,215.7339202,7.682
2011-05-27,15741.6,0,77.72,3.786,215.5037878,7.682
2011-06-03,16434.15,0,83.0,3.699,215.27365530000003,7.682
2011-06-10,15883.52,0,83.13,3.648,215.04352290000003,7.682
2011-06-17,14978.09,0,86.41,3.637,214.9980596,7.682
2011-06-24,15682.81,0,83.58,3.594,215.0910982,7.682
2011-07-01,15363.5,0,85.55,3.524,215.18413680000003,7.9620000000000015
2011-07-08,16148.87,0,85.83,3.48,215.27717540000003,7.9620000000000015
2011-07-15,15654.85,0,88.54,3.575,215.3611087,7.9620000000000015
2011-07-22,15766.6,0,85.77,3.651,215.4222784,7.9620000000000015
2011-07-29,15922.41,0,86.83,3.682,215.4834482,7.9620000000000015
2011-08-05,15295.55,0,91.65,3.684,215.544618,7.9620000000000015
2011-08-12,14539.79,0,90.76,3.638,215.6057878,7.9620000000000015
2011-08-19,14689.24,0,89.94,3.554,215.6693107,7.9620000000000015
2011-08-26,14537.37,0,87.96,3.523,215.7332258,7.9620000000000015
2011-09-02,15277.27,0,87.83,3.533,215.7971409,7.9620000000000015
2011-09-09,17746.68,1,76.0,3.5460000000000003,215.861056,7.9620000000000015
2011-09-16,18535.48,0,79.94,3.526,216.0410526,7.9620000000000015
2011-09-23,17859.3,0,75.8,3.467,216.3758246,7.9620000000000015
2011-09-30,18337.68,0,79.69,3.355,216.7105965,7.9620000000000015
2011-10-07,20797.58,0,69.31,3.285,217.0453684,7.866
2011-10-14,23077.55,0,71.74,3.274,217.3552733,7.866
2011-10-21,23351.8,0,63.71,3.353,217.5159762,7.866
2011-10-28,31579.9,0,66.57,3.372,217.6766791,7.866
2011-11-04,39886.06,0,54.98,3.332,217.837382,7.866
2011-11-11,18689.54,0,59.11,3.297,217.9980849,7.866
2011-11-18,19050.66,0,62.25,3.3080000000000003,218.2205088,7.866
2011-11-25,20911.25,1,60.14,3.236,218.4676211,7.866
2011-12-02,25293.49,0,48.91,3.172,218.7147333,7.866
2011-12-09,33305.92,0,43.93,3.158,218.9618456,7.866
2011-12-16,45773.03,0,51.63,3.159,219.17945330000003,7.866
2011-12-23,46788.75,0,47.96,3.112,219.3577216,7.866
2011-12-30,23350.88,1,44.55,3.129,219.5359898,7.866
2012-01-06,16567.69,0,49.01,3.157,219.7142581,7.348
2012-01-13,16894.4,0,48.53,3.261,219.8925263,7.348
2012-01-20,18365.1,0,54.11,3.268,219.9856893,7.348
2012-01-27,18378.16,0,54.26,3.29,220.0788523,7.348
2012-02-03,23510.49,0,56.55,3.36,220.1720153,7.348
2012-02-10,36988.49,1,48.02,3.409,220.26517830000003,7.348
2012-02-17,54060.1,0,45.32,3.51,220.4257586,7.348
2012-02-24,20124.22,0,57.25,3.555,220.636902,7.348
2012-03-02,20113.03,0,60.96,3.63,220.8480454,7.348
2012-03-09,21140.07,0,58.76,3.669,221.0591887,7.348
2012-03-16,22366.88,0,64.74,3.734,221.2118132,7.348
2012-03-23,22107.7,0,65.93,3.787,221.2864126,7.348
2012-03-30,28952.86,0,67.61,3.845,221.3610119,7.348
2012-04-06,57592.12,0,70.43,3.891,221.4356112,7.143
2012-04-13,34684.21,0,69.07,3.891,221.5102105,7.143
2012-04-20,16976.19,0,66.76,3.877,221.5640737,7.143
2012-04-27,16347.6,0,67.23,3.814,221.6179368,7.143
2012-05-04,17147.44,0,75.55,3.749,221.6718,7.143
2012-05-11,18164.2,0,73.77,3.688,221.7256632,7.143
2012-05-18,18517.79,0,70.33,3.63,221.742674,7.143
2012-05-25,16963.55,0,77.22,3.5610000000000004,221.744944,7.143
2012-06-01,16065.49,0,77.95,3.5010000000000003,221.7472139,7.143
2012-06-08,17666.0,0,78.3,3.452,221.7494839,7.143
2012-06-15,17558.82,0,79.35,3.393,221.7626421,7.143
2012-06-22,16633.41,0,78.39,3.346,221.8030211,7.143
2012-06-29,15722.82,0,84.88,3.286,221.8434,7.143
2012-07-06,17823.37,0,81.57,3.227,221.8837789,6.908
2012-07-13,16566.18,0,77.12,3.256,221.9241579,6.908
2012-07-20,16348.06,0,80.42,3.3110000000000004,221.9327267,6.908
2012-07-27,15731.18,0,82.66,3.407,221.9412954,6.908
2012-08-03,16628.31,0,86.11,3.417,221.9498642,6.908
2012-08-10,16119.92,0,85.05,3.494,221.9584329,6.908
2012-08-17,17330.7,0,84.85,3.571,222.03841090000003,6.908
2012-08-24,16286.4,0,77.66,3.62,222.1719457,6.908
2012-08-31,16680.24,0,80.49,3.638,222.3054805,6.908
2012-09-07,18322.37,1,83.96,3.73,222.4390153,6.908
2012-09-14,19616.22,0,74.97,3.717,222.5820193,6.908
2012-09-21,19251.5,0,69.87,3.721,222.7818386,6.908
2012-09-28,18947.81,0,76.08,3.666,222.9816579,6.908
2012-10-05,21904.47,0,68.55,3.617,223.1814772,6.573
2012-10-12,22764.01,0,62.99,3.6010000000000004,223.3812965,6.573
2012-10-19,24185.27,0,67.97,3.594,223.4257233,6.573
2012-10-26,27390.81,0,69.16,3.506,223.4442513,6.573
